product_id,product_type,product_name,price,scrap_datetime,style_id,color_id,color_name,fit,model_height,model_size,cotton,rayon,lyocell,polyester,spandex,elastomultiester
0979945023,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,023,olive_green,loose_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0979945024,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,024,pale_denim_blue,loose_fit,185,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0979945025,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,025,purple,loose_fit,183,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0979945028,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,028,pale_denim_blue,loose_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0979945029,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,029,denim_blue,loose_fit,180,38/32,1.0,0.0,0.0,0.65,0.0,0.0
0979945030,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,030,light_denim_gray,loose_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0979945031,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,031,white,loose_fit,180,38/32,1.0,0.0,0.0,0.0,0.0,0.0
0979945033,men_jeans_loose,loose_jeans,39.99,2023-02-25 21:33:37,0979945,033,black,loose_fit,185,31/32,1.0,0.0,0.0,0.65,0.0,0.0
1008110001,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,001,dark_denim_blue,slim_fit,180,33/32,0.9,0.0,0.0,0.8,0.02,0.08
1008110002,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,002,black_no_fade_black,slim_fit,,,1.0,0.0,0.0,0.0,0.02,0.08
1008110003,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,003,light_denim_blue,slim_fit,182,32/32,0.89,0.0,0.0,0.8,0.02,0.09
1008110005,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,005,light_denim_blue,slim_fit,,,0.89,0.0,0.0,0.8,0.02,0.09
1008110006,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,006,denim_blue,slim_fit,183,31/32,0.89,0.0,0.0,0.8,0.02,0.09
1008110013,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,013,dark_gray,slim_fit,187,31/32,0.9,0.0,0.0,0.8,0.02,0.08
1008110015,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,015,light_denim_blue,slim_fit,187,31/32,0.9,0.0,0.0,0.8,0.02,0.08
1008110019,men_jeans_slim,freefit®_slim_jeans,49.99,2023-02-25 21:33:37,1008110,019,black,slim_fit,187,31/32,0.9,0.0,0.0,0.8,0.02,0.08
1130309001,men_jeans_loose,baggy_jeans,39.99,2023-02-25 21:33:37,1130309,001,denim_black,loose_fit,188,31/32,1.0,0.0,0.0,0.65,0.0,0.0
1130309002,men_jeans_loose,baggy_jeans,39.99,2023-02-25 21:33:37,1130309,002,light_denim_blue,loose_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
1119482003,men_jeans_loose,loose_jeans,44.99,2023-02-25 21:33:37,1119482,003,cream,loose_fit,187,31/32,1.0,0.0,0.0,0.65,0.0,0.0
1119482005,men_jeans_loose,loose_jeans,44.99,2023-02-25 21:33:37,1119482,005,dark_denim_blue,loose_fit,188,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105001,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,001,denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.0,0.0,0.0
0875105002,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,002,black,relaxed_fit,,,1.0,0.0,0.0,0.0,0.0,0.0
0875105003,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,003,light_denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.0,0.0,0.0
0875105009,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,009,dark_denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0875105011,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,011,light_denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0875105015,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,015,light_denim_blue,relaxed_fit,185,31/32,1.0,0.0,0.0,0.0,0.0,0.0
0875105016,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,016,denim_blue,relaxed_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0875105017,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,017,dark_denim_blue,relaxed_fit,185,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105018,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,018,pale_denim_blue,relaxed_fit,187,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105023,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,023,black,relaxed_fit,,,1.0,0.0,0.0,0.65,0.0,0.0
0875105024,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,024,light_denim_blue,relaxed_fit,185,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105026,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,026,light_gray,relaxed_fit,,,1.0,0.0,0.0,0.0,0.0,0.0
0875105029,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,029,black,relaxed_fit,182,32/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105036,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,036,light_denim_blue,relaxed_fit,187,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105037,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,037,black,relaxed_fit,187,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105040,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,040,denim_blue,relaxed_fit,180,33/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105041,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,041,denim_gray,relaxed_fit,187,31/32,1.0,0.0,0.0,0.65,0.0,0.0
0875105042,men_jeans_relaxed,relaxed_jeans,39.99,2023-02-25 21:33:37,0875105,042,dark_denim_blue,relaxed_fit,180,33/32,1.0,0.0,0.0,0.65,0.0,0.0
1121156001,men_jeans_relaxed,relaxed_jeans,44.99,2023-02-25 21:33:37,1121156,001,dark_denim_blue,relaxed_fit,187,31/32,1.0,0.0,0.0,0.0,0.0,0.0
1121156002,men_jeans_relaxed,relaxed_jeans,44.99,2023-02-25 21:33:37,1121156,002,beige,relaxed_fit,187,31/32,1.0,0.0,0.0,0.0,0.0,0.0
